time,poa_irradiance_w_m2,pv_power_kw_per_kwp,pv_cell_temperature_c,air_density_kg_m3,hub_wind_speed_ms,density_corrected_wind_ms,wind_capacity_factor,wind_power_density_w_m2
2026-08-25 22:00:00+00:00,0.0,0.0,22.2,1.1891247341883346,7.31,7.23793177221369,0.20704190610785145,232.2466979022914
2026-08-25 23:00:00+00:00,0.0,0.0,21.8,1.1911205325277834,7.41,7.341048310271743,0.21670568091402556,242.31502248128896
2026-08-26 00:00:00+00:00,0.0,0.0,20.2,1.1977524773903074,8.48,8.416654797503035,0.3346481376770376,365.1948453405426
2026-08-26 01:00:00+00:00,0.0,0.0,19.8,1.199546295702846,7.49,7.437759410546881,0.22601929568693502,252.01852845262937
2026-08-26 02:00:00+00:00,0.0,0.0,19.1,1.202388637501952,7.05,7.0063534422627125,0.18632263607282984,210.6600674254287
2026-08-26 03:00:00+00:00,0.0,0.0,18.5,1.2052722215664808,6.53,6.494756413799635,0.14518572102366667,167.80105827001992
2026-08-26 04:00:00+00:00,0.9276608177155967,0.0009147089851338528,18.219223740420166,1.2070101853427018,6.35,6.318762140431638,0.1324442491501301,154.52619653017746
2026-08-26 05:00:00+00:00,54.17411824562201,0.05297336444544219,20.355394093278065,1.2030504560444337,7.24,7.19649703263538,0.2032354400478106,228.28088365681208
2026-08-26 06:00:00+00:00,208.48967005438723,0.20029979395405234,24.813001949077485,1.1977643190190674,5.86,5.8162452420786,0.09979780488836522,120.51309049550441
2026-08-26 07:00:00+00:00,357.2888957115333,0.33698983697789625,29.378680390949764,1.1907208658572643,5.55,5.497740983218929,0.08181662458417234,101.77917303082725
2026-08-26 08:00:00+00:00,447.826578596947,0.4163668428593741,32.87755682641119,1.184553015950838,5.2,5.142127193971555,0.06405961941562126,83.27881523340771
2026-08-26 09:00:00+00:00,615.975935857436,0.5584321703031508,38.91115969920509,1.1767756307223463,4.56,4.499359572960649,0.03767554355912901,55.79023600137303
2026-08-26 10:00:00+00:00,755.7749859442051,0.6746409392620042,42.539614479314906,1.1734349933560522,4.56,4.49509793522752,0.03752352960346913,55.63185836149435
2026-08-26 11:00:00+00:00,664.2144169663046,0.5963493189212165,41.19101025884777,1.170613957521866,4.73,4.658938852899285,0.04357764926678895,61.93941860921988
2026-08-26 12:00:00+00:00,678.8518862647535,0.609862503206244,41.048583758342915,1.167923500990038,5.51,5.423059487842341,0.07788940061479618,97.68754564803307
2026-08-26 13:00:00+00:00,374.411193921328,0.3481746199441325,32.83182924056389,1.1755299593988398,7.05,6.953791338874026,0.1818060365640844,205.95439176974844
2026-08-26 14:00:00+00:00,373.5720549830356,0.3488661738198363,31.805775787909703,1.1805529362822254,6.75,6.6673547794926575,0.15837040220070905,181.53768316283626
2026-08-26 15:00:00+00:00,273.88785067882515,0.25777447459104336,29.904172425415492,1.1822735838925111,6.08,6.00847435274308,0.1116499255547412,132.86137056327655
2026-08-26 16:00:00+00:00,134.25356788549814,0.12786394864735295,26.977516739215957,1.1844638440202402,5.87,5.8045248453090235,0.09909994340549418,119.7860147863067
2026-08-26 17:00:00+00:00,39.6308917801858,0.03813496256390788,24.413162604728747,1.1877618992931191,4.76,4.711270640531828,0.04560358487077572,64.05016494242858
2026-08-26 18:00:00+00:00,2.8010672487178914,0.00272486662763454,21.667744373282076,1.1960344792967792,4.87,4.83130918507914,0.05042341997706246,69.07177039585227
2026-08-26 19:00:00+00:00,0.0,0.0,20.9,1.1989481209144701,5.22,5.182730232812377,0.06596809168425435,85.26718092238644
2026-08-26 20:00:00+00:00,0.0,0.0,20.7,1.20031050015826,6.86,6.813599795906076,0.1700895586561945,193.74743280543944
2026-08-26 21:00:00+00:00,0.0,0.0,20.0,1.203149434486988,6.58,6.5406421354354185,0.1486235553029414,171.38280888681078
